iter	Passed	Remaining
534	10162	8832
535	10176	8809
536	10189	8785
537	10203	8762
538	10217	8739
539	10232	8716
540	10245	8692
541	10258	8668
542	10272	8645
543	10286	8622
544	10315	8611
545	10339	8596
546	10353	8574
547	10368	8552
548	10398	8542
549	10418	8524
550	10434	8502
551	10450	8481
552	10470	8463
553	10487	8443
554	10522	8436
555	10550	8425
556	10564	8402
557	10590	8388
558	10609	8369
559	10624	8348
560	10643	8329
561	10661	8309
562	10677	8287
563	10692	8266
564	10715	8249
565	10735	8231
566	10750	8210
567	10784	8202
568	10806	8185
569	10836	8174
570	10856	8156
571	10885	8145
572	10910	8130
573	10928	8110
574	10943	8089
575	10974	8078
576	10997	8062
577	11015	8042
578	11034	8023
579	11053	8003
580	11068	7982
581	11081	7959
582	11096	7937
583	11115	7917
584	11134	7899
585	11152	7878
586	11169	7858
587	11185	7837
588	11201	7816
589	11228	7803
590	11244	7781
591	11260	7760
592	11275	7738
593	11290	7716
594	11304	7694
595	11319	7673
596	11336	7652
597	11381	7651
598	11400	7632
599	11430	7620
600	11455	7605
601	11474	7586
602	11497	7569
603	11518	7552
604	11554	7543
605	11577	7527
606	11609	7516
607	11633	7500
608	11650	7480
609	11665	7458
610	11680	7436
611	11698	7416
612	11726	7403
613	11753	7389
614	11777	7372
615	11803	7358
616	11837	7348
617	11873	7339
618	11900	7324
619	11920	7305
620	11945	7290
621	11965	7271
622	11987	7254
623	12009	7236
624	12023	7214
625	12039	7192
626	12053	7170
627	12077	7153
628	12096	7134
629	12113	7114
630	12128	7092
631	12145	7071
632	12162	7051
633	12187	7035
634	12219	7023
635	12237	7003
636	12253	6982
637	12270	6961
638	12285	6940
639	12301	6919
640	12317	6898
641	12334	6878
642	12366	6865
643	12383	6845
644	12401	6825
645	12418	6805
646	12437	6786
647	12456	6766
648	12496	6758
649	12519	6741
650	12541	6723
651	12564	6706
652	12586	6688
653	12613	6673
654	12630	6652
655	12651	6634
656	12672	6616
657	12691	6596
658	12706	6575
659	12722	6553
660	12736	6532
661	12751	6510
662	12770	6490
663	12801	6477
664	12818	6457
665	12844	6441
666	12861	6420
667	12877	6400
668	12894	6379
669	12921	6364
670	12939	6344
671	12957	6324
672	12977	6305
673	12993	6284
674	13008	6263
675	13023	6242
676	13039	6221
677	13053	6199
678	13070	6179
679	13102	6166
680	13119	6145
681	13135	6124
682	13151	6104
683	13169	6084
684	13190	6065
685	13206	6044
686	13222	6024
687	13238	6003
688	13254	5982
689	13274	5964
690	13290	5943
691	13304	5921
692	13320	5901
693	13353	5887
694	13371	5868
695	13391	5849
696	13409	5829
697	13424	5808
698	13442	5788
699	13458	5768
700	13477	5748
701	13501	5731
702	13519	5711
703	13537	5691
704	13555	5672
705	13575	5653
706	13591	5632
707	13610	5613
708	13628	5593
709	13656	5578
710	13690	5564
711	13704	5543
712	13720	5522
713	13734	5501
714	13749	5480
715	13764	5459
716	13778	5438
717	13799	5419
718	13842	5409
719	13870	5394
720	13898	5378
721	13918	5359
722	13936	5339
723	13953	5319
724	13969	5298
725	13993	5281
726	14033	5269
727	14048	5249
728	14063	5228
729	14078	5206
730	14093	5186
731	14107	5165
732	14120	5143
733	14135	5122
734	14149	5101
735	14163	5080
736	14177	5059
737	14194	5039
738	14211	5019
739	14225	4998
740	14242	4978
741	14275	4963
742	14292	4943
743	14308	4923
744	14334	4906
745	14348	4885
746	14364	4865
747	14379	4844
748	14395	4824
749	14410	4803
750	14439	4787
751	14456	4767
752	14472	4747
753	14487	4726
754	14501	4705
755	14517	4685
756	14536	4666
757	14551	4645
758	14566	4625
759	14581	4604
760	14597	4584
761	14613	4564
762	14627	4543
763	14655	4527
764	14673	4507
765	14688	4487
766	14703	4466
767	14717	4445
768	14732	4425
769	14752	4406
770	14768	4386
771	14783	4366
772	14801	4346
773	14821	4327
774	14837	4307
775	14871	4292
776	14911	4279
777	14932	4260
778	14953	4242
779	14971	4222
780	14986	4202
781	15003	4182
782	15021	4163
783	15037	4142
784	15056	4123
785	15079	4105
786	15101	4087
787	15120	4068
788	15140	4049
789	15155	4028
790	15171	4008
791	15185	3988
792	15205	3969
793	15224	3949
794	15239	3929
795	15256	3910
796	15276	3891
797	15319	3877
798	15335	3857
799	15355	3838
800	15370	3818
801	15386	3798
802	15403	3779
803	15426	3760
804	15441	3740
805	15457	3720
806	15472	3700
807	15488	3680
808	15502	3660
809	15516	3639
810	15530	3619
811	15544	3599
812	15557	3578
813	15575	3558
814	15594	3539
815	15610	3519
816	15624	3499
817	15639	3479
818	15653	3459
819	15667	3439
820	15680	3418
821	15694	3398
822	15708	3378
823	15721	3358
824	15738	3338
825	15754	3318
826	15770	3299
827	15787	3279
828	15804	3259
829	15820	3240
830	15838	3221
831	15856	3201
832	15874	3182
833	15891	3163
834	15909	3143
835	15955	3130
836	15974	3110
837	15990	3091
838	16006	3071
839	16021	3051
840	16037	3032
841	16053	3012
842	16068	2992
843	16084	2972
844	16099	2953
845	16115	2933
846	16131	2913
847	16146	2894
848	16160	2874
849	16174	2854
850	16188	2834
851	16203	2814
852	16216	2794
853	16230	2774
854	16244	2754
855	16259	2735
856	16272	2715
857	16293	2696
858	16306	2676
859	16320	2656
860	16335	2637
861	16349	2617
862	16364	2597
863	16379	2578
864	16394	2558
865	16410	2539
866	16427	2520
867	16443	2500
868	16458	2481
869	16474	2461
870	16490	2442
871	16506	2423
872	16522	2403
873	16539	2384
874	16557	2365
875	16571	2345
876	16586	2326
877	16600	2306
878	16613	2287
879	16630	2267
880	16647	2248
881	16662	2229
882	16678	2209
883	16696	2190
884	16711	2171
885	16725	2151
886	16740	2132
887	16756	2113
888	16772	2094
889	16805	2077
890	16829	2058
891	16854	2040
892	16870	2021
893	16885	2002
894	16900	1982
895	16914	1963
896	16928	1943
897	16942	1924
898	16963	1905
899	16983	1887
900	17001	1868
901	17016	1848
902	17034	1829
903	17049	1810
904	17064	1791
905	17078	1771
906	17095	1752
907	17114	1734
908	17129	1714
909	17143	1695
910	17157	1676
911	17171	1656
912	17187	1637
913	17201	1618
914	17217	1599
915	17239	1580
916	17259	1562
917	17292	1544
918	17316	1526
919	17337	1507
920	17361	1489
921	17385	1470
922	17405	1452
923	17424	1433
924	17442	1414
925	17457	1395
926	17474	1376
927	17489	1356
928	17503	1337
929	17518	1318
930	17535	1299
931	17549	1280
932	17566	1261
933	17580	1242
934	17595	1223
935	17612	1204
936	17627	1185
937	17641	1166
938	17654	1146
939	17668	1127
940	17682	1108
941	17696	1089
942	17711	1070
943	17726	1051
944	17741	1032
945	17754	1013
946	17772	994
947	17790	975
948	17816	957
949	17832	938
950	17850	919
951	17868	900
952	17883	881
953	17900	863
954	17915	844
955	17930	825
956	17944	806
957	17972	787
958	17999	769
959	18018	750
960	18043	732
961	18080	714
962	18097	695
963	18117	676
964	18132	657
965	18147	638
966	18162	619
967	18182	601
968	18207	582
969	18223	563
970	18238	544
971	18256	525
972	18282	507
973	18300	488
974	18322	469
975	18337	450
976	18354	432
977	18370	413
978	18386	394
979	18403	375
980	18420	356
981	18436	337
982	18451	319
983	18466	300
984	18481	281
985	18504	262
986	18524	243
987	18538	225
988	18553	206
989	18568	187
990	18587	168
991	18605	150
992	18626	131
993	18649	112
994	18672	93
995	18689	75
996	18703	56
997	18720	37
998	18738	18
999	18755	0
